Work,Author,Era,School of Thought,Topic(s),Original Language,Prerequisite,Eastern/Western
A Treatise on Human Nature,David Hume,Modern,Empiricism,Ethics,English,On the Soul - Aristotle,Western
A Treatise on Human Nature,David Hume,Modern,Empiricism,Epistemology,English,On the Soul - Aristotle,Western
A Treatise on Human Nature,David Hume,Modern,Empiricism,Mind,English,On the Soul - Aristotle,Western
An Enquiry Concerning the Principles of Morals,David Hume,Modern,Empiricism,Ethics,English,N/A,Western
An Enquiry Concerning Human Understanding,David Hume,Modern,Empiricism,Metaphysics,English,N/A,Western
An Enquiry Concerning Human Understanding,David Hume,Modern,Empiricism,Epistemology,English,N/A,Western
Four Dissertation: No.4.Of the Standard of Taste,David Hume,Modern,Empiricism,Aesthetics,English,N/A,Western
,,,,,,,
Man a Machine,Jullien Offrey,Modern,Materialism,Metaphysics,French,Meditations on First Philosophy - Descartes,Western
,,,,,,,
The Spirit of the Laws,Montesquieu,Modern,Liberalism,Politics,French,Two Treatises of Government - Locke,Western
Theory of Moral Sentiments,Adam Smith,Modern,Liberalism,Ethics ,English,N/A,Western
Discourse on the Origin of Inequality,Rousseau,Modern,Liberalism,Ethics,French,N/A,Western
Discourse on the Origin of Inequality,Rousseau,Modern,Liberalism,Politics,French,N/A,Western
Inquiry into the Human Mind on the Principles of Common Sense,Thomas Reid,Modern,Realism,Epistemology,English,An Enquiry Concerning Human Understanding - Hume,Western
Inquiry into the Human Mind on the Principles of Common Sense,Thomas Reid,Modern,Realism,Mind,English,An Enquiry Concerning Human Understanding - Hume,Western
Essays on the Intellectual Powers of Man,Thomas Reid,Modern,Realism,Epistemology,English,On the Soul - Aristotle,Western
Essays on the Intellectual Powers of Man,Thomas Reid,Modern,Realism,Aesthetics,English,On the Soul - Aristotle,Western
Essays on the Intellectual Powers of Man,Thomas Reid,Modern,Realism,Mind,English,On the Soul - Aristotle,Western
,,,,,,,
Prolegomena to Any Future Metaphysics,Immanuel Kant,Modern,Idealism,Metaphysics,German,The Problems of Philosophy - Russel,Western
Critique of Pure Reason,Immanuel Kant,Modern,Idealism,Metaphysics,German,Prolegomena to Any Future Metaphysics - Kant,Western
Critique of Practical Reason,Immanuel Kant,Modern,Idealism,Ethics,German,Prolegomena to Any Future Metaphysics - Kant,Western
Critique of Judgement,Immanuel Kant,Modern,Idealism,Aesthetics,German,Prolegomena to Any Future Metaphysics - Kant,Western
,,,,,,,
Reflections on the Revolution on France,Edmund Burke,Modern,Conservatism,Politics,English,N/A,Western
Rights of Man,Thomas Paine,Modern,Liberalism,Politics,English,N/A,Western
A Vindication of the Rights of Women,Mary Wollstonecraft,Modern,Feminist,Politics,English,N/A,Western
Foundations of the Science of Knowledge,Johann Gottlieb Fichte,Modern,Idealism,Epistemology,German,Meditations on First Philosophy,Western
An Introduction to the Principles of Morals and Legislation,Bentham,Modern,Utilitarianism,Ethics,English,N/A,Western
